Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,77.500000,79.919998,71.550003,77.849998,59.572014,418954700
2016-02-01,76.660004,83.440002,73.550003,80.150002,61.332020,359915800
2016-03-01,80.559998,85.099998,80.309998,83.589996,64.544914,292841700
2016-04-01,82.400002,89.779999,81.989998,88.400002,68.259003,221801200
2016-05-01,88.239998,90.459999,87.230003,89.019997,68.737732,219170200
2016-06-01,88.430000,93.830002,87.610001,93.739998,72.990662,252091800
2016-07-01,93.360001,95.550003,86.120003,88.949997,69.260933,209716200
2016-08-01,88.080002,88.940002,85.580002,87.139999,67.851578,235412300
2016-09-01,86.720001,89.370003,82.290001,87.279999,68.540138,271447100
2016-10-01,86.940002,88.669998,82.989998,83.320000,65.430359,192041100
2016-11-01,83.500000,88.190002,82.760002,87.300003,68.555847,233089000
2016-12-01,87.980003,93.220001,86.599998,90.260002,71.507912,220435500
2017-01-01,90.940002,91.339996,83.129997,83.889999,66.461311,252514500
2017-02-01,84.000000,84.160004,80.760002,81.320000,64.425270,237345100
2017-03-01,81.699997,84.250000,80.309998,82.010002,65.566010,315475000
2017-04-01,82.019997,83.550003,80.300003,81.650002,65.278214,192624700
2017-05-01,81.510002,83.230003,80.470001,80.500000,64.358788,220122400
2017-06-01,80.370003,83.690002,79.260002,80.730003,65.152168,303836700
2017-07-01,80.790001,82.489998,78.269997,80.040001,64.595306,201333900
2017-08-01,80.160004,80.820000,76.050003,76.330002,61.601204,224413200
2017-09-01,76.370003,82.449997,76.320000,81.980003,66.802261,216249200
2017-10-01,81.300003,84.239998,81.250000,83.349998,67.918602,172408300
2017-11-01,83.389999,84.139999,80.010002,83.290001,67.869713,191810600
2017-12-01,83.440002,84.360001,82.169998,83.639999,68.785675,220601300
2018-01-01,83.820000,89.300003,83.660004,87.300003,71.795677,233944600
2018-02-01,87.500000,89.250000,73.900002,75.739998,62.288708,369414700
2018-03-01,75.529999,76.980003,72.669998,74.610001,61.986839,356741300
2018-04-01,74.269997,80.900002,72.160004,77.750000,64.595589,285826800
2018-05-01,77.260002,82.650002,75.400002,81.239998,67.495110,299337700
2018-06-01,81.870003,83.790001,79.300003,82.730003,69.429710,257136500
2018-07-01,81.889999,84.400002,80.709999,81.510002,68.405838,204469200
2018-08-01,80.889999,81.589996,76.510002,80.169998,67.281273,215072500
2018-09-01,80.410004,87.360001,79.599998,85.019997,72.087509,227023600
2018-10-01,85.349998,86.889999,76.220001,79.680000,67.559769,305909200
2018-11-01,79.830002,83.750000,74.699997,79.500000,67.407143,287081300
2018-12-01,80.239998,81.949997,64.650002,68.190002,58.403641,380647000
2019-01-01,67.349998,73.489998,67.260002,73.279999,62.763138,269226500
2019-02-01,74.919998,79.750000,72.730003,79.029999,67.687935,245067300
2019-03-01,79.379997,82.000000,77.860001,80.800003,69.972214,272454400
2019-04-01,81.230003,83.489998,79.559998,80.279999,69.521896,219523400
2019-05-01,79.940002,80.260002,70.629997,70.769997,61.286308,250094000
2019-06-01,71.089996,77.760002,70.970001,76.629997,67.121674,218953600
2019-07-01,77.129997,77.930000,74.180000,74.360001,65.133347,186899500
2019-08-01,73.739998,74.269997,66.529999,68.480003,59.982944,277599800
2019-09-01,67.889999,75.180000,67.629997,70.610001,62.617676,215355500
2019-10-01,70.830002,70.910004,66.309998,67.570000,59.921768,237608200
2019-11-01,68.389999,73.120003,67.320000,68.129997,60.418377,249330500
2019-12-01,68.500000,70.540001,67.519997,69.779999,62.627903,286029400
2020-01-01,70.239998,71.370003,61.860001,62.119999,55.753010,359133900
2020-02-01,61.380001,63.009998,48.009998,51.439999,46.167660,479874900
2020-03-01,52.590000,54.150002,30.110001,37.970001,34.567513,1171277200
2020-04-01,36.860001,47.680000,36.340000,46.470001,42.305824,791507100
2020-05-01,45.630001,47.150002,40.200001,45.470001,41.395432,477169600
2020-06-01,45.320000,55.360001,43.160000,44.720001,41.502033,584980000
2020-07-01,44.490002,45.380001,40.910000,42.080002,39.052006,447137800
2020-08-01,42.049999,46.419998,39.310001,39.939999,37.065994,449216800
2020-09-01,39.750000,40.029999,33.759998,34.330002,32.488205,590803600
2020-10-01,33.790001,35.950001,31.110001,32.619999,30.869942,630433400
2020-11-01,33.139999,42.080002,32.529999,38.130001,36.084335,703960200
2020-12-01,38.959999,44.470001,38.340000,41.220001,39.949696,603794500
2021-01-01,41.450001,51.080002,41.000000,44.840000,43.458134,594784100
