Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,531.760010,532.909973,400.000000,420.089996,420.089996,21407200
2016-02-01,417.190002,437.529999,350.260010,384.019989,384.019989,19529800
2016-03-01,387.859985,419.000000,348.959991,360.440002,360.440002,20597900
2016-04-01,373.989990,433.929993,360.809998,376.709991,376.709991,20814900
2016-05-01,377.950012,402.480011,360.250000,398.929993,398.929993,20724600
2016-06-01,398.750000,408.350006,329.089996,349.230011,349.230011,20553100
2016-07-01,349.000000,425.880005,348.429993,425.119995,425.119995,15297000
2016-08-01,425.089996,443.989990,390.019989,392.549988,392.549988,17166400
2016-09-01,394.750000,424.350006,384.010010,402.019989,402.019989,16489500
2016-10-01,402.019989,407.790009,344.850006,345.019989,345.019989,12726000
2016-11-01,345.519989,452.959991,325.350006,379.239990,379.239990,24676400
2016-12-01,379.480011,396.679993,348.820007,367.089996,367.089996,17772000
2017-01-01,370.839996,389.220001,340.089996,359.290009,359.290009,21779200
2017-02-01,358.739990,384.579987,347.000000,373.500000,373.500000,17098400
2017-03-01,378.000000,401.209991,364.440002,387.510010,387.510010,22474800
2017-04-01,388.000000,393.500000,360.000000,388.489990,388.489990,16523900
2017-05-01,388.799988,464.399994,388.220001,459.059998,459.059998,20548900
2017-06-01,460.000000,543.549988,453.540009,491.140015,491.140015,25695600
2017-07-01,494.200012,526.119995,482.510010,491.619995,491.619995,14085100
2017-08-01,486.600006,502.420013,459.140015,496.899994,496.899994,15287300
2017-09-01,498.239990,505.489990,426.470001,447.119995,447.119995,16433500
2017-10-01,448.309998,477.000000,400.190002,402.619995,402.619995,18169400
2017-11-01,403.809998,432.500000,353.140015,361.859985,361.859985,21696400
2017-12-01,356.369995,390.910004,355.029999,375.959991,375.959991,13329900
2018-01-01,379.480011,396.779999,363.000000,366.649994,366.649994,17209800
2018-02-01,366.690002,370.989990,313.529999,320.440002,320.440002,24593300
2018-03-01,320.350006,352.589996,317.709991,344.359985,344.359985,17220100
2018-04-01,342.450012,345.489990,298.190002,303.679993,303.679993,18044800
2018-05-01,302.929993,314.839996,281.890015,300.320007,300.320007,21212200
2018-06-01,301.339996,349.239990,297.779999,344.989990,344.989990,17603000
2018-07-01,344.950012,376.750000,342.579987,368.010010,368.010010,16131300
2018-08-01,366.739990,416.489990,361.190002,406.750000,406.750000,17704700
2018-09-01,405.500000,410.739990,375.209991,404.040009,404.040009,11059000
2018-10-01,406.410004,410.000000,327.579987,339.239990,339.239990,18094400
2018-11-01,339.000000,368.239990,331.540009,365.649994,365.649994,14346300
2018-12-01,372.500000,396.320007,339.130005,373.500000,373.500000,15396100
2019-01-01,368.149994,430.579987,366.010010,429.269989,429.269989,16942900
2019-02-01,428.519989,434.350006,399.290009,430.739990,430.739990,11181000
2019-03-01,434.799988,442.000000,388.489990,410.619995,410.619995,15042200
2019-04-01,412.510010,415.890015,329.000000,343.140015,343.140015,18332700
2019-05-01,343.040009,345.440002,295.730011,301.720001,301.720001,20246800
2019-06-01,301.130005,327.829987,295.269989,313.000000,313.000000,17375300
2019-07-01,317.609985,320.760010,287.660004,304.760010,304.760010,17639000
2019-08-01,306.679993,313.929993,279.390015,290.049988,290.049988,14629800
2019-09-01,289.200012,299.980011,271.369995,277.399994,277.399994,13618800
2019-10-01,277.269989,313.390015,272.260010,306.279999,306.279999,15009200
2019-11-01,309.000000,372.589996,307.440002,369.000000,369.000000,18587100
2019-12-01,368.179993,382.250000,357.000000,375.480011,375.480011,15130800
2020-01-01,378.000000,396.470001,328.130005,337.940002,337.940002,16144400
2020-02-01,339.690002,470.000000,339.390015,444.570007,444.570007,25175900
2020-03-01,445.000000,518.000000,418.010010,488.290009,488.290009,37896100
2020-04-01,484.140015,574.320007,476.450012,525.880005,525.880005,23566800
2020-05-01,524.229980,615.359985,514.549988,612.809998,612.809998,39438900
2020-06-01,605.000000,646.330017,575.890015,623.650024,623.650024,25283800
2020-07-01,625.000000,664.640015,596.020020,632.070007,632.070007,16790600
2020-08-01,634.840027,660.000000,590.710022,619.929993,619.929993,12991400
2020-09-01,615.630005,620.000000,540.000000,559.780029,559.780029,17458100
2020-10-01,562.500000,619.969971,533.229980,543.559998,543.559998,25479900
2020-11-01,545.059998,596.799988,505.799988,516.030029,516.030029,18939900
2020-12-01,516.000000,525.280029,470.779999,483.109985,483.109985,20037200
2021-01-01,486.850006,558.909973,467.000000,503.839996,503.839996,19670500
